epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1667.35,0.14838,0.27687,0.08145,0.93635,0.94233,0.96052,0.91504,0.08222,0.30031,0.08461,0.000848969,0.000848969,0.000848969
43,1702.26,0.13879,0.28937,0.09041,0.9182,0.90389,0.9277,0.87414,0.09434,0.31013,0.09733,0.000834822,0.000834822,0.000834822
44,1737.09,0.15924,0.29459,0.09194,0.97675,0.88611,0.95445,0.89559,0.09452,0.26195,0.09936,0.000820675,0.000820675,0.000820675
45,1771.93,0.14222,0.26851,0.08066,0.9363,0.91366,0.91276,0.8653,0.09217,0.27018,0.09494,0.000806528,0.000806528,0.000806528
46,1812.51,0.15253,0.29152,0.09922,0.96884,0.95995,0.96977,0.92079,0.09166,0.20212,0.09616,0.00079238,0.00079238,0.00079238
47,1858.53,0.14238,0.26179,0.08231,0.97854,0.9447,0.96757,0.91522,0.09406,0.25669,0.10173,0.000778233,0.000778233,0.000778233
48,1907.03,0.14498,0.27267,0.09208,0.97142,0.97208,0.99303,0.9414,0.08752,0.20912,0.0982,0.000764086,0.000764086,0.000764086
49,1949.83,0.1376,0.26581,0.07901,0.96338,0.82258,0.91689,0.85993,0.11913,0.51386,0.15698,0.000749939,0.000749939,0.000749939
50,1990.09,0.1676,0.28466,0.10977,0.94825,0.77991,0.86337,0.8007,0.13312,0.57265,0.15589,0.000735792,0.000735792,0.000735792
51,2024.91,0.15195,0.25955,0.08492,0.92058,0.87294,0.94345,0.87802,0.09714,0.4571,0.12226,0.000721645,0.000721645,0.000721645
52,2061.59,0.14172,0.25975,0.08035,0.95825,0.88917,0.97469,0.92051,0.08652,0.36961,0.10147,0.000707498,0.000707498,0.000707498
53,2101.36,0.16041,0.25687,0.08593,0.98972,1,0.995,0.95032,0.07917,0.16312,0.08138,0.000693351,0.000693351,0.000693351
