frame_id,inference_time_ms,num_detections,timestamp
1,2377.36,6,1770192421.6369486
2,76.38,6,1770192421.727219
3,78.81,6,1770192422.5069096
4,75.48,6,1770192423.937905
5,95.61,6,1770192425.4438841
6,92.15,6,1770192427.0090702
7,77.71,6,1770192428.498909
8,81.21,6,1770192429.9929438
9,77.24,6,1770192431.6160512
10,74.01,6,1770192432.8288276
11,68.79,6,1770192433.9240978
12,65.59,6,1770192435.2375998
13,68.01,6,1770192436.3794491
14,86.05,6,1770192437.5094175
15,72.28,6,1770192438.7820065
16,81.50,6,1770192439.9010992
17,79.35,6,1770192441.095591
18,79.51,6,1770192442.3067987
19,71.53,6,1770192443.4774456
20,69.34,6,1770192444.5914328
21,67.19,6,1770192445.6831095
22,66.56,6,1770192446.769925
23,87.03,6,1770192448.1580536
24,83.28,6,1770192449.637647
25,84.84,6,1770192451.1358619
26,80.93,6,1770192452.614801
27,77.08,6,1770192454.073075
28,123.06,6,1770192455.7239165
29,84.16,6,1770192457.0423872
30,121.02,6,1770192458.6270964
31,85.64,6,1770192460.1755848
32,79.04,6,1770192461.6910217
33,89.00,6,1770192463.231152
34,92.65,6,1770192464.9093375
35,80.97,4,1770192466.6224215
36,87.12,7,1770192468.343175
37,83.09,8,1770192469.9690733
38,81.80,6,1770192471.8109975
39,87.60,5,1770192473.4892986
40,76.77,5,1770192475.1613371
41,84.79,5,1770192477.0172672
42,96.95,6,1770192478.5891426
43,80.51,6,1770192479.8620386
44,76.82,8,1770192481.0619733
45,83.64,7,1770192482.2127516
46,72.39,7,1770192483.3546352
47,77.27,7,1770192484.7657292
48,72.54,7,1770192485.928219
49,66.18,7,1770192487.0939689
50,94.13,6,1770192488.4125803
51,81.17,7,1770192489.7030568
52,82.24,5,1770192491.673672
53,81.15,6,1770192493.4365904
54,85.45,6,1770192495.2048497
55,91.36,6,1770192497.2566323
56,77.61,6,1770192498.926072
57,79.76,6,1770192500.5721905
58,84.94,6,1770192502.2360287
59,88.14,6,1770192503.911444
60,94.69,7,1770192505.6401095
61,92.90,4,1770192507.5596316
62,85.22,6,1770192509.3084402
63,162.87,7,1770192511.199607
64,79.75,6,1770192512.8912413
65,86.52,6,1770192514.5883791
66,83.15,4,1770192516.2961452
67,85.68,6,1770192517.8983662
68,77.94,7,1770192519.066339
69,70.06,6,1770192520.208117
70,70.56,6,1770192521.3570855
71,75.29,11,1770192522.8719497
72,112.41,7,1770192524.321231
73,83.81,9,1770192525.9517665
74,88.17,9,1770192527.9270303
75,81.11,9,1770192529.2815678
76,75.88,7,1770192530.6409323
77,69.96,9,1770192531.8491783
78,76.91,8,1770192533.0231435
79,82.05,10,1770192534.3146958
80,77.88,10,1770192535.687189
81,76.37,7,1770192537.3677304
82,87.99,8,1770192538.8581898
83,84.86,8,1770192540.4742608
84,78.22,7,1770192542.0063083
85,89.95,7,1770192543.4765363
86,87.71,7,1770192545.0918586
87,90.50,8,1770192546.8997214
88,80.56,7,1770192548.6581638
89,101.67,5,1770192550.2450106
90,71.82,5,1770192551.831167
91,85.64,5,1770192553.3521092
92,77.58,6,1770192554.8116636
93,87.83,6,1770192556.2330775
94,97.24,6,1770192557.8114254
95,85.39,6,1770192559.3424337
96,68.46,6,1770192560.7611663
97,69.24,7,1770192562.1959107
98,107.67,6,1770192563.7711494
99,80.63,5,1770192565.3276649
100,86.46,7,1770192566.7708166
101,82.24,8,1770192568.1972592
102,79.18,5,1770192569.8094296
103,73.12,6,1770192571.2339566
104,89.41,4,1770192573.2214694
105,79.25,4,1770192574.7122135
106,91.90,5,1770192576.172228
107,82.62,4,1770192577.7263818
108,78.69,5,1770192579.1820817
109,77.48,4,1770192580.6500866
110,72.50,2,1770192582.0544348
111,121.30,3,1770192583.6091528
112,75.72,2,1770192585.1492484
113,78.72,2,1770192586.599354
114,80.65,2,1770192588.0028746
115,100.30,2,1770192589.689392
116,80.65,2,1770192591.851935
117,78.51,2,1770192593.6089194
118,104.58,2,1770192595.10331
119,85.13,2,1770192596.5652566
120,96.41,3,1770192598.0782
121,77.34,3,1770192599.548174
122,79.06,3,1770192601.0419934
123,101.63,5,1770192602.61965
124,77.73,5,1770192604.088963
125,84.92,6,1770192605.556849
126,83.13,5,1770192607.0239747
127,98.70,5,1770192608.534122
128,75.37,5,1770192610.0407503
129,83.06,6,1770192611.5448654
130,76.83,6,1770192612.952397
131,76.05,5,1770192614.5349388
132,82.05,5,1770192616.0477347
133,84.33,6,1770192617.518212
134,94.25,6,1770192618.9775426
135,84.17,7,1770192620.5379705
136,75.84,7,1770192622.109392
137,73.67,7,1770192623.5263114
138,87.08,8,1770192624.9411535
139,82.78,8,1770192626.4578102
140,77.22,8,1770192628.0923398
141,82.29,8,1770192629.52537
142,75.52,9,1770192632.3011582
143,82.99,9,1770192633.8160617
144,82.79,8,1770192635.447923
145,81.62,5,1770192637.0883133
146,88.44,5,1770192638.6058476
147,78.01,5,1770192640.163391
148,84.47,5,1770192641.5718758
149,93.43,6,1770192643.1679788
150,80.39,4,1770192644.6916528
151,82.44,5,1770192646.1175196
152,81.92,5,1770192647.6071649
153,86.30,8,1770192649.1694674
154,84.27,7,1770192650.5933383
155,77.73,5,1770192652.012096
156,76.77,4,1770192653.516143
157,91.87,4,1770192655.0207746
158,80.75,0,1770192656.5356019
159,76.53,5,1770192658.05746
160,85.18,5,1770192659.554942
161,84.71,5,1770192661.1236641
162,74.35,6,1770192662.601129
163,82.44,5,1770192664.0986354
164,83.68,5,1770192665.65501
165,83.36,5,1770192667.0951102
166,93.35,5,1770192668.5709424
167,107.60,5,1770192670.0795968
168,78.08,6,1770192671.5136392
169,82.25,4,1770192672.9741993
170,81.11,4,1770192674.4831498
171,79.87,4,1770192676.0806656
172,87.03,4,1770192677.5891113
173,85.24,5,1770192679.079699
174,90.22,8,1770192680.6729913
175,73.52,4,1770192682.1460288
176,74.65,3,1770192683.5800579
177,78.16,4,1770192685.0406008
178,83.44,6,1770192686.5048637
179,84.48,6,1770192688.0264714
180,77.46,3,1770192689.6120687
181,81.86,4,1770192691.1097636
182,81.74,5,1770192692.693443
183,78.43,4,1770192694.1582224
184,77.39,4,1770192695.6551824
185,88.75,2,1770192697.230965
186,71.50,2,1770192698.6774495
187,76.17,2,1770192700.1091912
188,89.71,3,1770192701.7108984
189,78.43,3,1770192703.1766384
190,81.69,2,1770192704.6715553
191,108.20,3,1770192706.2963228
192,64.21,3,1770192707.793244
193,85.51,3,1770192709.212706
194,85.90,3,1770192710.7344673
195,73.96,4,1770192712.3336904
196,81.60,5,1770192713.7973478
197,90.79,5,1770192715.2827375
198,101.43,3,1770192716.786984
199,81.67,3,1770192718.3926458
200,79.09,3,1770192719.8495076
201,81.07,4,1770192721.3408675
202,101.47,4,1770192722.8295634
203,73.36,2,1770192724.375423
204,83.53,3,1770192725.9041634
205,83.38,3,1770192727.3555584
206,77.01,3,1770192728.7833915
207,104.20,1,1770192730.3280332
208,83.16,1,1770192731.9545562
209,85.42,1,1770192733.4719424
210,78.59,1,1770192734.9656997
211,84.59,1,1770192736.5124528
212,78.83,3,1770192738.0593
213,73.12,2,1770192739.4996908
214,83.22,3,1770192740.9818892
215,71.98,2,1770192742.6359296
216,80.06,2,1770192744.0902152
217,78.96,2,1770192745.4706368
218,85.23,2,1770192746.9360824
219,78.94,2,1770192748.3761992
220,78.79,2,1770192749.9362473
221,81.61,1,1770192751.3496113
222,90.48,1,1770192752.9407635
223,74.90,2,1770192754.1762834
224,65.76,2,1770192755.4882357
225,78.84,2,1770192756.611449
226,64.36,3,1770192757.748989
227,68.66,3,1770192758.8598948
228,64.36,2,1770192759.9683347
229,75.09,2,1770192761.0651827
230,67.37,2,1770192762.1919558
231,64.99,2,1770192763.5667067
232,67.60,2,1770192764.679452
233,60.42,2,1770192765.743482
